GC took 3.465µs, TotalAlloc: 8992 bytes, TotalFree: 0 bytes, TotalFreed: 0 bytes, HeapIdle: 47968 bytes
GC took 248.494µs, TotalAlloc: 12059704 bytes, TotalFree: 8992 bytes, TotalFreed: 8992 bytes, HeapIdle: 171296 bytes
GC took 588.458µs, TotalAlloc: 24021024 bytes, TotalFree: 23032 bytes, TotalFreed: 23032 bytes, HeapIdle: 5111424 bytes
GC took 784.55µs, TotalAlloc: 36017096 bytes, TotalFree: 34880 bytes, TotalFreed: 34880 bytes, HeapIdle: 2820032 bytes
GC took 1.045826ms, TotalAlloc: 48101632 bytes, TotalFree: 44808 bytes, TotalFreed: 44808 bytes, HeapIdle: 3718048 bytes
GC took 1.402341ms, TotalAlloc: 60015160 bytes, TotalFree: 53832 bytes, TotalFreed: 53832 bytes, HeapIdle: 9109824 bytes
GC took 1.858941ms, TotalAlloc: 71988152 bytes, TotalFree: 63160 bytes, TotalFreed: 63160 bytes, HeapIdle: 20276608 bytes
GC took 1.858617ms, TotalAlloc: 84142448 bytes, TotalFree: 73056 bytes, TotalFreed: 73056 bytes, HeapIdle: 8029888 bytes
GC took 2.477987ms, TotalAlloc: 96169856 bytes, TotalFree: 88864 bytes, TotalFreed: 88864 bytes, HeapIdle: 26886048 bytes
GC took 2.483949ms, TotalAlloc: 108264448 bytes, TotalFree: 97704 bytes, TotalFreed: 97704 bytes, HeapIdle: 14568128 bytes
GC took 2.480465ms, TotalAlloc: 120284184 bytes, TotalFree: 109688 bytes, TotalFreed: 109688 bytes, HeapIdle: 2456000 bytes
GC took 3.307007ms, TotalAlloc: 132305656 bytes, TotalFree: 119344 bytes, TotalFreed: 119344 bytes, HeapIdle: 31734048 bytes
GC took 3.308438ms, TotalAlloc: 144337680 bytes, TotalFree: 135272 bytes, TotalFreed: 135272 bytes, HeapIdle: 19609952 bytes
GC took 3.306738ms, TotalAlloc: 156361624 bytes, TotalFree: 148784 bytes, TotalFreed: 148784 bytes, HeapIdle: 7493632 bytes
GC took 4.40821ms, TotalAlloc: 168279192 bytes, TotalFree: 162000 bytes, TotalFreed: 162000 bytes, HeapIdle: 50574208 bytes
GC took 4.422579ms, TotalAlloc: 180323656 bytes, TotalFree: 170032 bytes, TotalFreed: 170032 bytes, HeapIdle: 38437472 bytes
GC took 4.419375ms, TotalAlloc: 192328912 bytes, TotalFree: 185672 bytes, TotalFreed: 185672 bytes, HeapIdle: 26340576 bytes
GC took 4.423896ms, TotalAlloc: 204313168 bytes, TotalFree: 200408 bytes, TotalFreed: 200408 bytes, HeapIdle: 14002016 bytes
GC took 4.446353ms, TotalAlloc: 216227152 bytes, TotalFree: 216192 bytes, TotalFreed: 216192 bytes, HeapIdle: 1995936 bytes
GC took 6.135009ms, TotalAlloc: 228309520 bytes, TotalFree: 230816 bytes, TotalFreed: 230816 bytes, HeapIdle: 63421408 bytes
GC took 5.961568ms, TotalAlloc: 240309592 bytes, TotalFree: 243816 bytes, TotalFreed: 243816 bytes, HeapIdle: 51329056 bytes
GC took 6.006991ms, TotalAlloc: 252273744 bytes, TotalFree: 253976 bytes, TotalFreed: 253976 bytes, HeapIdle: 39273088 bytes
